21165,S,1
21166,Y,1
21167,Z,1
21168,M,1
21169,L,1
21170,J,1
21171,L,1
21172,L,1
21173,J,1
21174,K,1
21175,Y,1
21176,W,1
21177,X,1
21178,M,1
21179,K,1
21180,J,1
21181,L,1
21182,H,1
21183,S,1
21184,K,1
21185,J,1
21186,G,1
21187,B,1
21188,M,1
21189,C,1
21190,L,1
21191,Y,1
21192,Y,1
21193,M,1
21194,K,1
21195,X,1
21196,J,1
21197,Q,1
21198,L,1
21199,B,1
21200,M,1
21201,C,1
21202,L,1
21203,K,1
21204,M,1
21205,D,1
21206,X,1
21207,X,1
21208,K,1
21209,W,1
21210,Y,1
21211,X,1
21212,W,1
21213,S,1
21214,L,1
21215,M,1
21216,L,1
21217,P,1
21218,S,1
21219,J,1
21220,Q,1
21221,J,1
21222,C,1
21223,Q,1
21224,X,1
21225,Y,1
21226,J,1
21227,F,1
21228,J,1
21229,T,1
21230,J,1
21231,D,1
21232,X,1
21233,M,1
21234,X,1
21235,X,1
21236,L,1
21237,L,1
21238,C,1
21239,R,1
21240,Q,1
21241,B,1
21242,S,1
21243,Y,1
21244,J,1
21245,B,1
21246,G,1
21247,W,1
21248,Y,1
21249,W,1
21250,X,1
21251,G,1
21252,G,1
21253,B,1
21254,C,1
21255,Y,1
21256,X,1
21257,P,1
21258,J,1
21259,T,1
21260,G,1
21261,P,1
21262,E,1
21263,P,1
21264,F,1
21265,G,1
21266,D,1
21267,J,1
21268,G,1
21269,B,1
21270,H,1
21271,B,1
21272,N,1
21273,S,1
21274,F,1
21275,J,1
21276,Y,1
21277,Z,1
21278,J,1
21279,K,1
21280,J,1
21281,K,1
21282,H,1
21283,X,1
21284,Q,1
21285,F,1
21286,G,1
21287,Q,1
21288,Z,1
21289,K,1
21290,F,1
21291,H,1
21292,Y,1
21293,G,1
21294,K,1
21295,H,1
21296,D,1
21297,G,1
21298,L,1
21299,L,1
21300,S,1
21301,D,1
21302,J,1
21303,J,1
21304,X,1
21305,P,1
21306,Q,1
21307,Y,1
21308,K,1
21309,Y,1
21310,B,1
21311,N,1
21312,Q,1
21313,S,1
21314,X,1
21315,Q,1
21316,N,1
21317,S,1
21318,Z,1
21319,S,1
21320,W,1
21321,H,1
21322,B,1
21323,S,1
21324,X,1
21325,W,1
21326,H,1
21327,X,1
21328,W,1
21329,B,1
21330,Z,1
21331,Z,1
21332,X,1
21333,D,1
21334,M,1
21335,N,1
21336,D,1
21337,J,1
21338,B,1
21339,S,1
21340,B,1
21341,K,1
21342,B,1
21343,B,1
21344,Z,1
21345,K,1
21346,L,1
21347,Y,1
21348,L,1
21349,X,1
21350,G,1
21351,W,1
21352,X,1
21353,J,1
21354,J,1
21355,W,1
21356,A,1
21357,Q,1
21358,Z,1
21359,M,1
21360,Y,1
21361,W,1
21362,S,1
21363,J,1
21364,Q,1
21365,L,1
21366,C,1
21367,J,1
21368,X,1
21369,X,1
21370,J,1
21371,Q,1
21372,W,1
21373,J,1
21374,E,1
21375,Q,1
21376,X,1
21377,S,1
21378,C,1
21379,W,1
21380,E,1
21381,T,1
21382,L,1
21383,Z,1
21384,H,1
21385,L,1
21386,Y,1
21387,Y,1
21388,Y,1
21389,S,1
21390,D,1
21391,Z,1
21392,P,1
21393,Y,1
21394,Q,1
21395,Y,1
21396,Z,1
21397,C,1
21398,P,1
21399,T,1
21400,L,1
21401,S,1
21402,H,1
21403,T,1
21404,Z,1
21405,C,1
21406,F,1
21407,Y,1
21408,C,1
21409,Y,1
21410,X,1
21411,Y,1
21412,L,1
21413,J,1
21414,S,1
21415,D,1
21416,C,1
21417,J,1
21418,J,1
21419,A,1
21420,G,1
21421,Y,1
21422,S,1
21423,L,1
21424,C,1
21425,L,1
21426,L,1
21427,Y,1
21428,Y,1
21429,Y,1
21430,S,1
21431,G,1
21432,L,1
21433,R,1
21434,Q,1
21435,Q,1
21436,E,1
21437,L,1
21438,D,1
21439,X,1
21440,Z,1
21441,S,1
21442,C,1
21443,C,1
21444,C,1
21445,C,1
21446,A,1
21447,D,1
21448,Y,1
21449,C,1
